x,y,z,interval,sample,frame
0.4245,-0.08775,1.20989,1,15.8,15.799999999999997
0.43783,-0.0961,1.21061,1,15.9,15.899999999999999
0.45215,-0.10679,1.21221,1,16.0,16.0
0.46779,-0.11953,1.21476,1,16.1,16.1
0.48447,-0.13374,1.21787,1,16.2,16.200000000000003
0.50174,-0.14882,1.22102,1,16.3,16.299999999999997
0.51916,-0.16414,1.22372,1,16.4,16.4
0.53628,-0.17909,1.22543,1,16.5,16.5
0.55266,-0.19303,1.22567,1,16.6,16.6
0.56786,-0.20537,1.22391,1,16.7,16.700000000000003
0.58143,-0.21547,1.21964,1,16.8,16.799999999999997
0.59293,-0.22272,1.21235,1,16.9,16.9
0.60191,-0.22649,1.20153,1,17.0,17.0
0.60805,-0.22635,1.18684,1,17.1,17.1
0.61147,-0.22249,1.16858,1,17.2,17.2
0.6124,-0.21529,1.14724,1,17.3,17.3
0.6111,-0.20514,1.12329,1,17.4,17.4
0.6078,-0.1924,1.0972,1,17.5,17.5
0.60275,-0.17746,1.06945,1,17.6,17.6
0.59617,-0.1607,1.04053,1,17.7,17.7
0.58832,-0.14248,1.01089,1,17.8,17.8
0.57943,-0.12319,0.98103,1,17.9,17.9
0.56975,-0.1032,0.95142,1,18.0,18.0
0.55949,-0.08287,0.92248,1,18.1,18.1
0.54882,-0.06245,0.8944,1,18.2,18.2
0.53786,-0.04217,0.86731,1,18.3,18.3
0.52676,-0.02226,0.84136,1,18.4,18.4
0.51565,-0.00294,0.81669,1,18.5,18.5
0.50467,0.01554,0.79342,1,18.6,18.6
0.49395,0.03296,0.7717,1,18.7,18.7
0.48364,0.0491,0.75166,1,18.8,18.8
0.47387,0.06372,0.73344,1,18.9,18.9
0.46477,0.07659,0.71718,1,19.0,19.0
0.45648,0.08759,0.7029,1,19.1,19.1
0.44904,0.09697,0.69024,1,19.2,19.2
0.44252,0.10509,0.67871,1,19.3,19.3
0.43697,0.11232,0.66782,1,19.4,19.4
0.43243,0.11901,0.65709,1,19.5,19.5
0.42895,0.12553,0.64604,1,19.6,19.6
0.42659,0.13223,0.63419,1,19.7,19.7
0.42539,0.13948,0.62105,1,19.8,19.8
0.42541,0.14764,0.60614,1,19.9,19.9
